UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power [W],Disipation,Type_H,Type_L,Type_M,Machine failure,TWF,HDF,PWF,OSF
65,L47244,299.0,309.1,1523,38.6,177,6156.244020023535,10.100000000000023,False,True,False,0,0,0,0,0
66,L47245,299.0,309.1,1394,45.1,179,6583.668172519938,10.100000000000023,False,True,False,0,0,0,0,0
67,M14926,298.9,308.9,1679,28.7,181,5046.162255877581,10.0,False,False,True,0,0,0,0,0
68,H29481,298.8,308.9,1466,44.1,184,6770.195000339076,10.099999999999966,True,False,False,0,0,0,0,0
69,L47248,298.8,308.9,1527,32.4,189,5180.988940594142,10.099999999999966,False,True,False,0,0,0,0,0
70,L47249,298.9,309.0,1410,65.7,191,9700.923955019922,10.100000000000023,False,True,False,1,0,0,1,1
71,M14930,298.9,309.0,1924,22.6,193,4553.4662800150945,10.100000000000023,False,False,True,0,0,0,0,0
72,L47251,298.9,309.1,1452,45.5,196,6918.415341735443,10.200000000000045,False,True,False,0,0,0,0,0
73,L47252,298.9,309.1,1369,44.4,198,6365.243707291352,10.200000000000045,False,True,False,0,0,0,0,0
74,L47253,299.0,309.1,1592,35.0,200,5834.984755267443,10.100000000000023,False,True,False,0,0,0,0,0
75,L47254,298.9,309.0,1601,32.3,202,5415.299392674381,10.100000000000023,False,True,False,0,0,0,0,0
76,L47255,298.8,308.9,1379,46.7,204,6743.878925877506,10.099999999999966,False,True,False,0,0,0,0,0
77,L47256,298.8,308.9,1461,47.9,206,7328.487430808518,10.099999999999966,False,True,False,0,0,0,0,0
78,L47257,298.8,308.9,1455,41.3,208,6292.767164773035,10.099999999999966,False,True,False,1,1,0,0,0
79,L47258,298.8,308.9,1398,51.5,0,7539.508209350145,10.099999999999966,False,True,False,0,0,0,0,0
80,L47259,298.8,308.9,1402,37.9,2,5564.367964087218,10.099999999999966,False,True,False,0,0,0,0,0
81,H29494,298.8,308.8,1445,49.9,4,7550.870302780627,10.0,True,False,False,0,0,0,0,0
82,L47261,298.9,308.9,1450,47.5,9,7212.573133866567,10.0,False,True,False,0,0,0,0,0
83,L47262,298.9,308.9,1453,40.8,11,6208.038410905718,10.0,False,True,False,0,0,0,0,0
84,L47263,299.0,309.0,1469,40.1,13,6168.716142858287,10.0,False,True,False,0,0,0,0,0
85,L47264,298.9,308.9,1422,47.6,15,7088.187008735435,10.0,False,True,False,0,0,0,0,0
86,M14945,299.0,309.0,1804,26.8,17,5062.906944721215,10.0,False,False,True,0,0,0,0,0
87,H29500,299.0,309.0,1436,43.9,20,6601.575250645399,10.0,True,False,False,0,0,0,0,0
88,L47267,299.0,309.0,1544,31.8,25,5141.656200571199,10.0,False,True,False,0,0,0,0,0
89,M14948,299.0,309.0,1419,45.2,27,6716.599429668835,10.0,False,False,True,0,0,0,0,0
90,M14949,298.9,308.9,1487,39.5,30,6150.871896585895,10.0,False,False,True,0,0,0,0,0
91,L47270,298.9,308.9,1753,25.8,33,4736.2022526989,10.0,False,True,False,0,0,0,0,0
92,L47271,298.9,308.9,1830,24.9,35,4771.765081537536,10.0,False,True,False,0,0,0,0,0
93,M14952,298.9,308.9,1727,27.1,37,4901.06256318378,10.0,False,False,True,0,0,0,0,0
94,L47273,299.1,309.0,1450,43.0,40,6529.276731710787,9.899999999999977,False,True,False,0,0,0,0,0
95,L47274,299.0,308.9,1622,31.9,42,5418.388625450411,9.899999999999977,False,True,False,0,0,0,0,0
96,M14955,299.0,309.0,1351,52.2,44,7385.06751449967,10.0,False,False,True,0,0,0,0,0
97,M14956,299.0,309.0,1575,35.3,47,5822.156585265283,10.0,False,False,True,0,0,0,0,0
98,M14957,298.9,308.9,1750,29.9,50,5479.4611866361965,10.0,False,False,True,0,0,0,0,0
99,L47278,298.9,308.8,1529,32.7,53,5235.809732399285,9.900000000000034,False,True,False,0,0,0,0,0
100,L47279,298.8,308.8,1523,44.4,55,7081.275504897538,10.0,False,True,False,0,0,0,0,0
101,L47280,298.8,308.9,1852,25.0,57,4848.524662040247,10.099999999999966,False,True,False,0,0,0,0,0
102,L47281,298.8,308.8,1991,20.7,59,4315.888571575122,10.0,False,True,False,0,0,0,0,0
103,L47282,298.8,308.8,1555,40.6,61,6611.272299969481,10.0,False,True,False,0,0,0,0,0
104,M14963,298.8,308.8,1441,40.5,63,6111.4972686609035,10.0,False,False,True,0,0,0,0,0
105,L47284,298.8,308.7,1450,43.4,66,6590.01418968019,9.899999999999977,False,True,False,0,0,0,0,0
106,L47285,298.8,308.7,1591,31.1,68,5181.543955296277,9.899999999999977,False,True,False,0,0,0,0,0
107,L47286,298.8,308.7,1445,48.5,70,7339.022238173556,9.899999999999977,False,True,False,0,0,0,0,0
108,M14967,298.8,308.8,1497,46.8,72,7336.624155781315,10.0,False,False,True,0,0,0,0,0
109,H29522,298.9,308.8,1621,32.7,75,5550.84864370127,9.900000000000034,True,False,False,0,0,0,0,0
110,L47289,298.9,308.7,1572,34.1,80,5613.523417140386,9.800000000000011,False,True,False,0,0,0,0,0
111,L47290,298.8,308.6,1872,22.5,82,4410.79608564007,9.800000000000011,False,True,False,0,0,0,0,0
112,H29525,298.7,308.6,1499,43.5,84,6828.408712210095,9.900000000000034,True,False,False,0,0,0,0,0
113,M14972,298.8,308.7,1498,39.5,89,6196.3726301853885,9.899999999999977,False,False,True,0,0,0,0,0
114,M14973,298.8,308.6,1486,41.9,92,6520.208000917424,9.800000000000011,False,False,True,0,0,0,0,0
115,L47294,298.8,308.6,1680,29.4,95,5172.318144870235,9.800000000000011,False,True,False,0,0,0,0,0
116,L47295,298.8,308.6,1431,45.7,97,6848.3264096338535,9.800000000000011,False,True,False,0,0,0,0,0
117,L47296,298.9,308.7,1564,34.1,99,5584.955867943742,9.800000000000011,False,True,False,0,0,0,0,0
118,L47297,298.8,308.6,1599,33.0,101,5525.747318399087,9.800000000000011,False,True,False,0,0,0,0,0
119,M14978,298.8,308.6,1707,28.1,103,5023.0610778981845,9.800000000000011,False,False,True,0,0,0,0,0
120,L47299,298.7,308.5,1467,40.7,106,6252.491946954015,9.800000000000011,False,True,False,0,0,0,0,0
121,L47300,298.9,308.7,1433,44.7,108,6707.834386165318,9.800000000000011,False,True,False,0,0,0,0,0
122,L47301,298.9,308.7,1558,41.2,110,6721.919193228912,9.800000000000011,False,True,False,0,0,0,0,0
123,L47302,299.0,308.8,1310,50.7,112,6955.171975782442,9.800000000000011,False,True,False,0,0,0,0,0
124,L47303,298.9,308.7,1546,43.4,114,7026.31857741074,9.800000000000011,False,True,False,0,0,0,0,0
125,L47304,298.9,308.7,1727,29.4,116,5317.0199024945805,9.800000000000011,False,True,False,0,0,0,0,0
126,L47305,298.9,308.6,1560,32.2,118,5260.28273917075,9.700000000000045,False,True,False,0,0,0,0,0
127,L47306,299.0,308.6,1329,60.5,120,8419.939550518684,9.600000000000023,False,True,False,0,0,0,0,0
128,L47307,298.9,308.6,1413,46.5,122,6880.559150259685,9.700000000000045,False,True,False,0,0,0,0,0
129,L47308,299.0,308.6,1587,38.6,124,6414.9437030711415,9.600000000000023,False,True,False,0,0,0,0,0
130,L47309,298.9,308.5,1559,34.3,126,5599.75276934215,9.600000000000023,False,True,False,0,0,0,0,0
131,L47310,298.8,308.4,1473,41.1,128,6339.765390870739,9.599999999999966,False,True,False,0,0,0,0,0
132,L47311,298.8,308.4,1737,27.7,130,5038.580545606917,9.599999999999966,False,True,False,0,0,0,0,0
133,M14992,298.7,308.4,1441,43.2,132,6518.930419904964,9.699999999999989,False,False,True,0,0,0,0,0
134,M14993,298.7,308.4,1430,49.6,135,7427.562791127228,9.699999999999989,False,False,True,0,0,0,0,0
135,L47314,298.8,308.4,1369,53.0,138,7598.151272217154,9.599999999999966,False,True,False,0,0,0,0,0
136,M14995,298.8,308.5,1711,28.5,140,5106.50177877753,9.699999999999989,False,False,True,0,0,0,0,0
137,H29550,298.7,308.5,1420,45.7,143,6795.683788735201,9.800000000000011,True,False,False,0,0,0,0,0
138,L47317,298.7,308.6,1297,55.3,148,7510.930188177988,9.900000000000034,False,True,False,0,0,0,0,0
139,H29552,298.8,308.6,1449,49.4,150,7495.902903318318,9.800000000000011,True,False,False,0,0,0,0,0
140,L47319,298.8,308.6,1268,55.8,155,7409.383441638454,9.800000000000011,False,True,False,0,0,0,0,0
141,L47320,298.8,308.6,1511,36.1,157,5712.158954487593,9.800000000000011,False,True,False,0,0,0,0,0
142,L47321,298.7,308.5,1544,35.2,159,5691.393027047366,9.800000000000011,False,True,False,0,0,0,0,0
143,M15002,298.6,308.4,1778,28.2,161,5250.606633797693,9.799999999999955,False,False,True,0,0,0,0,0
144,H29557,298.6,308.4,1407,50.5,164,7440.705120394745,9.799999999999955,True,False,False,0,0,0,0,0
145,M15004,298.6,308.4,1391,42.4,169,6176.203605349341,9.799999999999955,False,False,True,0,0,0,0,0
146,L47325,298.5,308.4,1513,33.6,172,5323.61724706712,9.899999999999977,False,True,False,0,0,0,0,0
147,H29560,298.5,308.4,1612,36.1,174,6093.977653629385,9.899999999999977,True,False,False,0,0,0,0,0
148,L47327,298.4,308.4,1515,40.1,179,6361.882203152011,10.0,False,True,False,0,0,0,0,0
149,M15008,298.3,308.3,1379,48.0,181,6931.61003088052,10.0,False,False,True,0,0,0,0,0
150,L47329,298.4,308.3,1473,39.9,184,6154.662751721228,9.900000000000034,False,True,False,0,0,0,0,0
151,L47330,298.4,308.3,1422,42.7,186,6358.52069901267,9.900000000000034,False,True,False,0,0,0,0,0
152,M15011,298.4,308.2,1463,37.6,188,5760.50806542634,9.800000000000011,False,False,True,0,0,0,0,0
153,M15012,298.4,308.2,1584,41.0,191,6800.919776491184,9.800000000000011,False,False,True,0,0,0,0,0
154,L47333,298.4,308.2,1850,27.0,194,5230.751768227005,9.800000000000011,False,True,False,0,0,0,0,0
155,L47334,298.4,308.2,1528,36.2,196,5792.426646786813,9.800000000000011,False,True,False,0,0,0,0,0
156,H29569,298.4,308.2,1987,19.8,198,4119.9474377707265,9.800000000000011,True,False,False,0,0,0,0,0
157,M15016,298.4,308.1,1495,46.0,203,7201.577559579002,9.700000000000045,False,False,True,0,0,0,0,0
158,H29571,298.4,308.2,1478,43.5,206,6732.747215908285,9.800000000000011,True,False,False,0,0,0,0,0
159,M15018,298.4,308.2,1499,40.0,211,6278.996516974799,9.800000000000011,False,False,True,0,0,0,0,0
160,L47339,298.4,308.2,1471,47.0,214,7240.009709707918,9.800000000000011,False,True,False,0,0,0,0,0
161,L47340,298.4,308.2,1282,60.7,216,8149.0190720486125,9.800000000000011,False,True,False,1,0,0,0,1
162,L47341,298.3,308.1,1412,52.3,218,7733.302588174585,9.800000000000011,False,True,False,1,0,0,0,1
163,L47342,298.3,308.1,1586,35.5,0,5896.036372502204,9.800000000000011,False,True,False,0,0,0,0,0
164,M15023,298.4,308.2,1468,43.8,2,6733.312702585931,9.800000000000011,False,False,True,0,0,0,0,0
165,M15024,298.5,308.3,1440,43.6,5,6574.725105432719,9.800000000000011,False,False,True,0,0,0,0,0
166,L47345,298.5,308.4,1733,26.0,8,4718.4627261816295,9.899999999999977,False,True,False,0,0,0,0,0
167,H29580,298.4,308.2,1612,32.6,10,5503.148795244264,9.800000000000011,True,False,False,0,0,0,0,0
168,H29581,298.4,308.3,1458,42.9,15,6550.032187175502,9.900000000000034,True,False,False,0,0,0,0,0
169,L47348,298.4,308.3,1433,62.3,20,9348.950386087232,9.900000000000034,False,True,False,1,0,0,1,0
170,L47349,298.4,308.3,1318,59.1,22,8157.019661339754,9.900000000000034,False,True,False,0,0,0,0,0
171,M15030,298.4,308.2,1610,35.0,24,5900.958200992827,9.800000000000011,False,False,True,0,0,0,0,0
172,L47351,298.2,308.1,1462,50.8,27,7777.494324835082,9.900000000000034,False,True,False,0,0,0,0,0
173,M15032,298.1,308.0,1924,20.8,29,4190.800824084688,9.899999999999977,False,False,True,0,0,0,0,0
174,M15033,298.2,308.0,1591,33.7,32,5614.727694324262,9.800000000000011,False,False,True,0,0,0,0,0
175,L47354,298.2,308.1,1306,58.3,35,7973.341210859871,9.900000000000034,False,True,False,0,0,0,0,0
176,L47355,298.2,308.1,1382,43.5,37,6295.437518528586,9.900000000000034,False,True,False,0,0,0,0,0
177,L47356,298.2,308.1,1618,34.7,39,5879.4487632912505,9.900000000000034,False,True,False,0,0,0,0,0
178,L47357,298.2,308.2,1988,21.4,41,4455.113486006709,10.0,False,True,False,0,0,0,0,0
179,L47358,298.2,308.2,1436,50.2,43,7548.953931261938,10.0,False,True,False,0,0,0,0,0
180,L47359,298.2,308.3,1304,49.8,45,6800.41712166661,10.100000000000023,False,True,False,0,0,0,0,0
181,L47360,298.2,308.3,1475,49.9,47,7707.635776194758,10.100000000000023,False,True,False,0,0,0,0,0
182,H29595,298.2,308.3,1824,24.2,49,4622.413766785878,10.100000000000023,True,False,False,0,0,0,0,0
183,M15042,298.1,308.2,1342,48.1,54,6759.681136925063,10.099999999999966,False,False,True,0,0,0,0,0
184,L47363,298.1,308.2,1485,40.7,57,6329.209639554677,10.099999999999966,False,True,False,0,0,0,0,0
185,L47364,298.2,308.2,1667,30.6,59,5341.775652604869,10.0,False,True,False,0,0,0,0,0
186,L47365,298.2,308.2,1446,38.2,61,5784.426057495672,10.0,False,True,False,0,0,0,0,0
187,L47366,298.1,308.3,1301,56.0,63,7629.462478997932,10.199999999999989,False,True,False,0,0,0,0,0
188,L47367,298.2,308.4,1379,43.1,65,6224.008173561467,10.199999999999989,False,True,False,0,0,0,0,0
189,L47368,298.3,308.5,1606,33.6,67,5650.845537865032,10.199999999999989,False,True,False,0,0,0,0,0
190,M15049,298.3,308.4,1539,43.4,69,6994.504715805387,10.099999999999966,False,False,True,0,0,0,0,0
191,L47370,298.2,308.4,1477,49.9,72,7718.086807755699,10.199999999999989,False,True,False,0,0,0,0,0
192,L47371,298.2,308.4,1666,34.6,74,6036.42367621562,10.199999999999989,False,True,False,0,0,0,0,0
193,H29606,298.2,308.4,1398,51.8,76,7583.42767464733,10.199999999999989,True,False,False,0,0,0,0,0
194,H29607,298.2,308.4,1678,34.6,81,6079.903318541303,10.199999999999989,True,False,False,0,0,0,0,0
195,M15054,298.2,308.5,2678,10.7,86,3000.7026950518025,10.300000000000011,False,False,True,1,0,0,1,0
196,L47375,298.3,308.5,1453,42.9,89,6527.569799702335,10.199999999999989,False,True,False,0,0,0,0,0
197,H29610,298.3,308.6,1432,49.5,91,7422.955121901963,10.300000000000011,True,False,False,0,0,0,0,0
198,M15057,298.4,308.6,1527,40.9,96,6540.199002169767,10.200000000000045,False,False,True,0,0,0,0,0
199,L47378,298.4,308.7,1588,35.0,99,5820.32398955069,10.300000000000011,False,True,False,0,0,0,0,0
200,L47379,298.4,308.6,1433,47.1,101,7067.986567972852,10.200000000000045,False,True,False,0,0,0,0,0
201,L47380,298.4,308.6,1609,35.0,103,5897.29300956364,10.200000000000045,False,True,False,0,0,0,0,0
202,L47381,298.3,308.5,1575,41.2,105,6795.264909714722,10.199999999999989,False,True,False,0,0,0,0,0
203,M15062,298.4,308.5,1636,35.7,107,6116.178241714753,10.100000000000023,False,False,True,0,0,0,0,0
204,L47383,298.4,308.5,1490,37.9,110,5913.6292913623065,10.100000000000023,False,True,False,0,0,0,0,0
205,L47384,298.4,308.5,1741,32.8,112,5980.000672157146,10.100000000000023,False,True,False,0,0,0,0,0
206,M15065,298.5,308.6,1344,53.0,114,7459.397596683605,10.100000000000023,False,False,True,0,0,0,0,0
207,L47386,298.5,308.7,1609,35.3,117,5947.8412353599,10.199999999999989,False,True,False,0,0,0,0,0
208,M15067,298.4,308.7,1421,60.7,119,9032.571061919718,10.300000000000011,False,False,True,1,0,0,1,0
209,L47388,298.4,308.6,1591,36.7,122,6114.555085510398,10.200000000000045,False,True,False,0,0,0,0,0
210,L47389,298.4,308.6,1477,44.0,124,6805.527445716449,10.200000000000045,False,True,False,0,0,0,0,0
211,L47390,298.4,308.7,1523,36.1,126,5757.523552405431,10.300000000000011,False,True,False,0,0,0,0,0
212,L47391,298.5,308.7,1575,33.9,128,5591.249525226433,10.199999999999989,False,True,False,0,0,0,0,0
213,H29626,298.4,308.7,1344,52.9,130,7445.323261595522,10.300000000000011,True,False,False,0,0,0,0,0
214,L47393,298.4,308.7,1386,44.9,135,6516.856968753595,10.300000000000011,False,True,False,0,0,0,0,0
215,M15074,298.3,308.6,1589,37.1,137,6173.428531838671,10.300000000000011,False,False,True,0,0,0,0,0
216,L47395,298.3,308.6,1548,40.3,140,6532.879091286902,10.300000000000011,False,True,False,0,0,0,0,0
217,L47396,298.3,308.6,1499,38.3,142,6012.13916500337,10.300000000000011,False,True,False,0,0,0,0,0
218,L47397,298.3,308.5,1664,31.6,144,5506.416051603998,10.199999999999989,False,True,False,0,0,0,0,0
219,L47398,298.3,308.6,1447,38.1,146,5773.2734035754265,10.300000000000011,False,True,False,0,0,0,0,0
220,M15079,298.3,308.5,1434,46.2,148,6937.767552481556,10.199999999999989,False,False,True,0,0,0,0,0
221,L47400,298.3,308.5,1416,52.7,151,7814.523230245395,10.199999999999989,False,True,False,0,0,0,0,0
222,H29635,298.4,308.5,1827,24.3,153,4649.148720267927,10.100000000000023,True,False,False,0,0,0,0,0
223,L47402,298.4,308.6,1304,45.0,158,6144.955230421636,10.200000000000045,False,True,False,0,0,0,0,0
224,L47403,298.4,308.6,1569,34.4,160,5652.102174926468,10.200000000000045,False,True,False,0,0,0,0,0
225,L47404,298.3,308.6,1584,29.3,162,4860.169498809553,10.300000000000011,False,True,False,0,0,0,0,0
226,L47405,298.3,308.5,1362,53.8,164,7673.40288824614,10.199999999999989,False,True,False,0,0,0,0,0
227,L47406,298.3,308.4,1329,49.2,166,6847.28968405817,10.099999999999966,False,True,False,0,0,0,0,0
228,L47407,298.3,308.5,1539,36.1,168,5818.009682962545,10.199999999999989,False,True,False,0,0,0,0,0
229,M15088,298.3,308.5,1629,37.1,170,6328.832648436246,10.199999999999989,False,False,True,0,0,0,0,0
230,L47409,298.3,308.5,1538,32.2,173,5186.099264643983,10.199999999999989,False,True,False,0,0,0,0,0
231,L47410,298.3,308.6,1570,34.8,175,5721.46854071773,10.300000000000011,False,True,False,0,0,0,0,0
232,L47411,298.3,308.4,1408,43.1,177,6354.897395485528,10.099999999999966,False,True,False,0,0,0,0,0
233,L47412,298.2,308.4,1424,47.6,179,7098.156329422826,10.199999999999989,False,True,False,0,0,0,0,0
234,L47413,298.2,308.4,1512,34.9,181,5525.935813958302,10.199999999999989,False,True,False,0,0,0,0,0
235,L47414,298.2,308.4,1478,42.9,183,6639.881737068171,10.199999999999989,False,True,False,0,0,0,0,0
236,M15095,298.1,308.3,1680,33.7,185,5928.8136558546585,10.199999999999989,False,False,True,0,0,0,0,0
237,L47416,298.1,308.3,1495,38.7,188,6058.718512080595,10.199999999999989,False,True,False,0,0,0,0,0
238,M15097,298.0,308.1,1552,36.6,190,5948.417194013057,10.100000000000023,False,False,True,0,0,0,0,0
239,L47418,297.9,308.1,1393,50.3,193,7337.493329748808,10.200000000000045,False,True,False,0,0,0,0,0
240,L47419,298.0,308.2,1611,30.6,195,5162.32788023182,10.199999999999989,False,True,False,0,0,0,0,0
241,M15100,298.0,308.1,1339,51.6,197,7235.33920862958,10.100000000000023,False,False,True,0,0,0,0,0
242,L47421,298.0,308.1,1777,24.3,200,4521.91421779754,10.100000000000023,False,True,False,0,0,0,0,0
243,L47422,298.0,308.2,1348,58.8,202,8300.33911819652,10.199999999999989,False,True,False,1,0,0,0,1
244,L47423,298.0,308.2,1442,44.1,204,6659.359611520428,10.199999999999989,False,True,False,0,0,0,0,0
245,M15104,298.0,308.2,1395,49.1,206,7172.727267043536,10.199999999999989,False,False,True,0,0,0,0,0
246,M15105,297.9,308.1,1627,31.4,209,5349.901905602153,10.200000000000045,False,False,True,0,0,0,0,0
247,L47426,297.9,308.1,1585,33.5,212,5560.3571974661345,10.200000000000045,False,True,False,0,0,0,0,0
248,L47427,298.0,308.2,1469,45.5,214,6999.4160723205,10.199999999999989,False,True,False,0,0,0,0,0
249,L47428,298.0,308.3,1362,56.8,216,8101.2878076650695,10.300000000000011,False,True,False,1,0,0,0,1
250,L47429,298.0,308.3,1405,56.2,218,8268.776584003455,10.300000000000011,False,True,False,1,0,0,0,1
251,L47430,298.0,308.3,1662,32.7,0,5691.246419390198,10.300000000000011,False,True,False,0,0,0,0,0
252,M15111,298.0,308.2,1466,42.6,2,6539.916258830944,10.199999999999989,False,False,True,0,0,0,0,0
253,L47432,298.0,308.2,1620,35.8,5,6073.326917919787,10.199999999999989,False,True,False,0,0,0,0,0
