,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_H,Type_L,Type_M
168,298.3,308.5,1664,31.6,144,False,True,False
169,296.8,307.9,1337,56.5,5,False,True,False
170,302.2,311.2,1692,28.2,122,True,False,False
171,298.7,309.9,1404,47.1,64,False,True,False
172,298.2,307.6,1511,31.0,209,False,True,False
173,300.5,309.7,1580,42.8,196,False,True,False
174,302.8,310.6,1404,43.2,203,False,True,False
175,302.0,310.8,1609,35.2,4,False,False,True
176,299.2,308.5,1457,44.7,195,False,True,False
177,299.2,308.5,1742,28.9,150,False,False,True
178,302.9,311.0,1469,48.7,130,True,False,False
179,297.8,308.5,1448,40.0,192,False,True,False
180,297.2,308.6,1335,53.0,39,False,True,False
181,297.5,308.6,1536,38.7,7,True,False,False
182,303.6,312.5,1607,33.7,14,False,False,True
183,296.8,307.9,1698,30.8,48,False,True,False
184,301.2,309.8,1709,27.0,151,True,False,False
185,300.8,312.4,1365,44.5,129,False,True,False
186,299.7,309.6,1553,36.8,174,False,True,False
187,298.1,307.4,1335,56.2,190,False,False,True
188,297.2,307.9,1540,37.1,164,False,True,False
189,300.3,310.4,1293,49.7,37,False,False,True
190,298.3,309.0,1470,38.4,10,True,False,False
191,300.1,309.4,1453,47.6,28,False,True,False
192,299.9,309.1,1345,56.8,10,False,False,True
193,301.3,311.0,1539,36.9,206,False,True,False
194,299.4,308.6,1492,40.5,181,False,True,False
195,298.4,309.3,1395,47.6,24,False,True,False
196,302.3,311.5,1387,47.3,2,False,True,False
197,300.9,310.9,1497,43.2,62,False,True,False
198,298.8,308.5,1736,29.0,31,False,True,False
199,297.8,307.6,1607,30.3,62,False,True,False
200,300.0,309.5,1879,22.4,79,False,False,True
201,297.5,308.9,1738,24.0,195,False,True,False
202,297.6,308.8,1385,44.4,181,True,False,False
203,302.2,311.1,1516,33.7,158,False,False,True
204,303.8,313.0,1633,32.9,207,False,True,False
205,300.6,310.7,1397,53.7,80,False,True,False
206,297.3,308.3,1268,60.6,119,False,True,False
207,297.6,308.6,1529,45.3,15,False,True,False
208,300.2,311.0,2370,14.7,144,False,False,True
209,302.4,310.1,1645,31.6,93,False,True,False
210,303.7,312.4,1702,31.2,144,False,True,False
211,299.8,309.3,1640,31.1,211,False,False,True
212,299.7,311.1,1574,36.4,135,False,True,False
213,297.5,309.4,1650,34.6,142,False,True,False
214,301.5,310.0,1417,44.6,49,False,False,True
215,298.1,308.1,1456,43.7,80,False,False,True
216,299.5,310.1,1585,35.2,50,False,True,False
217,301.0,310.6,1493,37.8,206,False,True,False
218,301.7,310.7,1659,29.9,73,False,False,True
219,297.3,308.4,1469,46.7,65,False,True,False
220,302.2,310.1,1421,45.4,9,False,False,True
221,303.6,312.8,1689,33.1,16,False,False,True
222,298.5,309.6,1579,33.5,91,True,False,False
223,300.6,310.2,1318,51.0,8,False,True,False
224,302.1,310.6,1517,38.9,2,False,False,True
225,297.1,308.2,2267,15.7,181,False,True,False
226,299.4,308.6,1415,56.4,175,False,True,False
227,301.0,310.7,1300,57.2,174,False,True,False
228,297.9,308.5,1383,44.6,184,True,False,False
229,301.9,310.8,1427,47.7,92,False,True,False
230,299.4,309.3,1391,46.6,185,False,True,False
231,299.3,310.4,1510,45.5,27,True,False,False
232,300.0,311.5,1445,41.6,81,False,True,False
233,298.2,309.1,1568,36.3,166,False,True,False
234,300.9,311.9,2140,16.5,43,True,False,False
235,299.6,310.9,1472,40.9,137,False,True,False
236,298.5,309.6,1502,39.4,84,False,False,True
237,300.6,310.0,1455,40.4,172,False,True,False
238,299.1,310.6,1577,37.1,44,False,True,False
239,302.5,310.3,1688,31.6,66,False,True,False
240,298.9,310.0,1378,49.3,18,False,True,False
241,298.5,309.3,1761,27.2,49,False,False,True
242,297.5,308.2,1489,40.7,141,False,True,False
243,297.7,309.0,1531,42.4,38,False,False,True
244,297.4,308.2,1359,46.9,199,True,False,False
245,301.7,310.6,1660,28.7,66,False,True,False
246,301.0,311.9,1889,23.5,198,False,True,False
247,302.3,310.1,1353,50.9,36,False,True,False
248,298.3,309.1,1616,31.1,195,False,True,False
249,299.2,309.1,1503,34.7,6,False,False,True
250,297.5,308.0,1560,39.0,141,False,False,True
251,299.6,309.2,1422,39.8,219,False,True,False
252,300.5,311.4,1743,27.6,46,False,False,True
253,297.2,307.9,1632,37.5,156,False,False,True
254,300.1,309.3,1340,56.0,130,False,True,False
255,298.0,308.5,1682,33.0,58,False,False,True
256,297.6,309.6,1419,48.2,215,True,False,False
257,300.7,310.9,1650,29.4,102,False,True,False
258,300.8,311.9,1498,39.3,23,False,True,False
259,303.0,311.2,1382,50.5,203,False,True,False
260,301.9,310.7,1511,37.6,70,False,False,True
261,297.9,307.7,1464,43.2,97,True,False,False
262,301.4,310.6,1459,46.9,27,False,False,True
263,298.4,308.3,1422,42.7,186,False,True,False
264,300.0,309.3,1413,40.7,117,False,False,True
265,300.5,309.5,1320,49.9,59,False,False,True
266,300.3,311.3,1377,53.8,125,False,False,True
267,300.6,310.0,1438,53.8,103,False,True,False
268,297.9,307.8,1499,37.5,78,False,True,False
269,298.8,309.6,1442,50.0,104,False,True,False
270,295.6,306.0,1569,40.4,174,False,True,False
271,297.7,309.2,1732,28.8,152,False,False,True
272,300.3,311.5,1695,25.6,43,False,True,False
273,300.2,311.6,1510,47.5,146,False,False,True
274,298.8,310.0,1412,46.3,107,False,True,False
275,298.6,309.4,1315,55.5,28,False,True,False
276,297.7,307.3,1365,49.2,36,False,False,True
277,297.4,308.2,1639,33.8,39,False,True,False
278,302.5,311.5,1481,41.1,215,False,False,True
279,300.0,309.6,1452,46.0,51,False,True,False
280,296.6,307.5,1734,27.0,50,False,False,True
281,302.6,312.3,1454,54.8,253,False,False,True
282,298.2,308.8,1302,60.4,34,False,True,False
283,295.8,306.5,1568,35.1,111,False,True,False
284,297.4,308.4,1369,50.6,220,False,True,False
285,301.2,310.6,1352,52.0,69,True,False,False
286,300.8,311.8,1928,21.8,209,False,True,False
287,300.8,310.7,1924,22.4,36,False,False,True
288,301.7,310.2,1620,30.8,42,True,False,False
289,302.0,311.0,1420,45.9,144,False,True,False
290,300.4,311.7,1513,40.0,51,False,True,False
291,300.6,311.7,1535,33.3,92,True,False,False
292,297.2,308.3,1326,57.2,100,False,False,True
293,299.0,308.5,1559,38.1,194,False,True,False
294,302.4,311.8,1557,31.5,49,False,False,True
295,297.1,308.0,1690,25.6,159,False,False,True
296,299.3,308.5,1589,32.7,74,False,True,False
297,298.8,308.9,1527,32.4,189,False,True,False
298,297.5,308.5,1484,44.7,40,False,False,True
299,298.3,308.1,1840,21.5,88,False,True,False
300,301.1,310.0,1433,48.1,14,False,False,True
301,302.1,311.2,1460,46.9,198,False,True,False
302,300.8,309.9,2041,19.2,194,True,False,False
303,300.8,311.9,1431,48.5,25,True,False,False
304,300.7,310.4,1366,52.6,205,False,True,False
305,302.0,311.2,1434,44.9,15,False,True,False
306,299.8,310.0,1632,33.7,172,False,False,True
307,299.8,311.3,1727,30.0,24,False,True,False
308,301.1,311.3,1836,22.8,31,False,False,True
309,297.5,308.9,1390,47.4,187,False,True,False
310,300.4,309.4,1362,42.1,182,False,False,True
311,301.7,311.0,1311,46.8,136,False,False,True
312,298.2,308.3,1402,51.0,141,False,True,False
313,299.4,308.5,1845,22.9,76,False,True,False
314,300.8,310.4,1518,36.0,59,False,False,True
315,296.9,307.9,1385,44.8,144,False,False,True
316,300.3,309.9,1393,56.1,12,False,True,False
317,298.1,309.0,1437,36.2,95,False,True,False
318,300.2,311.4,1495,43.6,95,False,True,False
319,298.9,309.9,1590,31.3,98,False,True,False
320,301.8,310.7,1644,33.4,68,False,True,False
321,300.3,309.6,1419,42.5,137,False,False,True
322,298.2,308.3,2051,19.2,90,False,True,False
323,297.5,309.6,1312,50.7,0,False,True,False
324,300.0,309.2,1566,34.4,18,False,True,False
325,303.6,312.6,1502,39.5,103,False,True,False
326,300.5,309.4,1655,32.1,37,False,False,True
327,302.5,312.0,1357,42.0,179,True,False,False
328,302.4,311.4,1675,29.6,128,False,False,True
329,297.4,308.5,1692,34.3,83,False,True,False
330,299.8,309.3,1663,35.2,208,False,False,True
331,299.0,308.6,1329,60.5,120,False,True,False
332,301.9,310.7,1472,47.0,73,False,False,True
333,300.1,309.1,1551,33.7,214,False,True,False
334,298.2,308.9,1336,45.0,66,False,True,False
335,298.6,309.2,1311,46.6,44,False,False,True
336,299.6,309.3,1553,32.4,112,False,False,True
337,298.1,308.9,1417,39.2,65,False,False,True
338,298.6,309.0,1456,47.7,0,False,True,False
339,299.5,310.1,1359,61.1,67,False,False,True
340,301.0,311.6,1461,40.6,154,False,True,False
341,300.4,309.9,1376,43.5,74,False,True,False
342,302.2,311.4,1432,45.3,33,False,False,True
343,301.4,310.6,1459,35.0,87,False,False,True
344,299.4,309.3,1366,48.4,116,False,True,False
345,298.7,309.8,1546,40.9,109,False,True,False
346,298.8,309.7,1480,38.1,157,False,False,True
347,298.3,308.1,1505,46.1,80,False,True,False
348,302.5,311.4,1629,31.7,225,False,False,True
349,298.0,308.9,1406,40.9,77,False,True,False
350,297.8,309.2,1400,56.9,34,False,True,False
351,297.4,308.5,1389,39.2,54,False,True,False
352,302.0,311.3,1725,27.7,23,False,False,True
353,299.2,308.4,1436,41.8,28,False,True,False
354,298.2,307.6,1369,54.5,82,False,True,False
355,298.3,309.6,1681,27.1,194,False,False,True
356,300.7,311.1,1427,50.3,137,False,True,False
357,301.4,310.8,1698,29.6,99,False,True,False
358,296.9,307.7,1653,35.9,177,False,True,False
359,295.6,306.1,1651,28.1,110,False,False,True
360,298.5,308.6,1897,20.2,50,False,False,True
361,297.9,307.9,1406,58.5,93,True,False,False
362,301.2,310.6,1811,24.0,84,False,True,False
363,301.0,312.2,1510,39.9,61,False,True,False
364,298.2,308.8,1645,28.2,58,False,False,True
365,297.9,308.7,1751,26.6,111,False,False,True
366,300.0,311.4,1533,42.6,180,False,False,True
367,301.6,309.8,1588,33.9,89,False,True,False
368,302.3,310.9,1627,32.3,0,False,False,True
369,300.3,311.7,1551,36.4,84,False,False,True
370,295.6,306.1,1418,46.2,24,False,False,True
371,300.6,311.8,1652,27.2,52,False,True,False
372,300.0,309.6,1431,47.7,39,False,True,False
373,297.4,308.9,1500,46.3,137,False,False,True
374,297.8,307.9,1726,27.3,35,False,False,True
375,299.8,311.2,2142,16.6,144,False,True,False
376,300.9,310.0,1416,46.6,201,False,False,True
377,297.3,308.4,1864,23.1,90,True,False,False
378,298.5,308.2,1444,40.5,170,False,True,False
379,297.5,308.6,1355,58.9,138,True,False,False
380,297.4,308.4,1341,52.2,49,False,True,False
381,301.1,312.4,1809,25.1,126,False,False,True
382,299.3,308.5,1404,49.4,93,False,False,True
383,299.9,310.0,1447,45.9,162,False,True,False
384,297.5,308.9,1471,37.7,197,True,False,False
385,297.6,308.6,1664,30.1,81,False,True,False
386,300.0,311.5,1749,28.3,83,False,True,False
387,298.3,308.1,1528,33.9,82,False,True,False
388,297.9,309.0,1562,35.8,40,False,True,False
389,298.5,308.8,1332,59.1,115,False,True,False
390,297.4,308.7,1522,46.3,146,True,False,False
391,300.1,309.3,1616,32.0,199,False,True,False
392,299.8,309.4,1460,37.4,25,False,True,False
393,296.4,307.5,1331,47.8,99,False,True,False
394,299.3,308.8,1647,32.9,172,False,True,False
395,300.2,311.6,1511,35.7,160,False,True,False
396,299.0,309.1,1523,38.6,177,False,True,False
397,298.7,309.8,1435,48.8,71,False,False,True
398,296.0,306.6,1628,36.8,121,False,False,True
399,297.8,307.2,1351,56.3,174,False,True,False
400,301.3,310.8,1494,35.3,54,False,False,True
401,301.5,310.5,1611,33.8,144,False,True,False
402,299.3,309.0,1732,29.7,141,True,False,False
403,304.2,313.4,1644,31.7,23,False,True,False
404,299.7,309.1,1483,41.1,208,False,True,False
405,303.6,312.3,1630,32.4,223,False,False,True
406,300.5,310.0,1451,48.6,208,False,True,False
407,298.6,310.2,1569,36.3,10,False,True,False
408,298.7,309.6,1254,57.1,124,False,False,True
409,298.8,309.6,1575,34.4,149,False,False,True
410,298.5,309.3,1552,36.8,133,False,False,True
411,301.9,310.4,1603,37.6,69,False,True,False
412,300.0,309.1,1401,44.5,0,False,True,False
413,301.9,310.8,1563,39.2,39,False,False,True
414,297.2,307.9,1309,49.6,167,False,True,False
415,295.7,306.3,1490,34.3,97,False,True,False
416,298.4,309.5,1514,38.8,128,False,False,True
417,299.9,310.5,1539,32.8,213,False,True,False
418,302.9,312.3,1509,46.8,175,True,False,False
419,302.3,311.3,1439,41.8,96,False,True,False
420,297.5,308.6,1536,39.0,202,False,True,False
421,297.8,308.3,1477,44.8,170,False,True,False
422,296.9,307.8,1426,50.7,130,False,False,True
423,298.3,308.4,1490,41.7,170,False,True,False
424,302.9,312.5,1903,21.2,23,False,False,True
425,300.7,309.9,1383,44.5,176,False,True,False
426,301.4,311.2,1727,26.5,43,False,False,True
427,300.4,309.6,1563,34.0,6,False,False,True
428,301.9,310.9,1590,34.3,106,True,False,False
429,297.4,308.4,1474,43.6,4,False,True,False
430,298.2,309.0,1353,50.3,150,False,False,True
431,302.2,311.1,1351,48.6,110,False,True,False
432,301.9,310.5,1472,39.7,187,True,False,False
433,299.8,309.2,1439,36.1,203,False,True,False
434,298.0,307.6,1472,46.7,116,False,False,True
435,298.8,308.7,1543,38.2,44,False,False,True
436,299.0,310.4,1339,49.6,94,False,True,False
437,302.7,312.2,1376,52.8,164,False,True,False
438,301.9,310.5,1590,40.3,130,False,False,True
439,302.3,310.8,1465,43.8,7,False,True,False
440,297.9,307.6,1747,25.3,136,False,True,False
441,295.5,306.1,1573,35.1,129,False,True,False
442,297.4,308.4,1421,46.0,124,False,True,False
443,301.2,310.9,1413,50.1,141,False,True,False
444,299.0,310.6,1587,34.2,141,False,False,True
445,303.5,312.9,1572,44.7,84,False,False,True
446,300.2,309.7,1408,44.0,144,False,False,True
447,302.2,311.5,1479,39.5,36,False,False,True
448,301.4,310.8,1610,34.6,187,False,True,False
449,297.5,308.3,1674,30.0,54,True,False,False
450,301.7,311.1,1618,36.7,115,False,False,True
451,300.4,311.8,1433,42.2,14,False,True,False
452,299.8,309.6,1526,41.7,85,False,True,False
453,300.3,310.3,1629,34.1,52,False,True,False
454,299.4,309.2,1621,34.5,48,False,True,False
455,302.1,310.1,1447,46.6,169,False,True,False
456,299.7,311.0,1506,42.7,85,False,False,True
457,298.0,307.7,1492,38.7,202,False,True,False
458,298.2,308.3,1458,41.8,132,False,True,False
459,303.8,313.1,1523,39.8,150,False,True,False
460,298.9,310.2,1445,40.0,129,False,True,False
461,298.9,308.4,1827,26.1,5,False,False,True
462,301.8,310.2,1437,42.3,0,False,False,True
463,299.1,308.4,1693,31.6,65,False,True,False
464,298.8,308.9,1455,41.3,208,False,True,False
465,302.6,310.4,1365,66.8,80,False,True,False
466,300.1,309.5,1353,50.9,34,False,True,False
467,301.8,311.1,1495,36.9,197,False,True,False
468,297.6,308.3,1648,29.1,134,False,False,True
469,301.9,309.7,1719,31.9,0,False,True,False
470,303.3,312.7,1643,30.7,142,False,True,False
471,303.3,311.6,1484,44.6,223,False,True,False
472,299.0,310.3,1662,33.6,67,False,False,True
473,297.4,308.3,1854,21.8,24,False,True,False
474,298.9,310.5,1429,39.9,19,True,False,False
475,301.9,310.9,1456,43.6,45,False,False,True
476,301.0,310.7,1464,45.8,184,False,True,False
477,299.2,308.7,1514,41.9,196,False,True,False
478,297.2,308.6,1444,41.1,56,False,False,True
479,299.2,309.1,1468,45.6,2,False,True,False
480,300.4,309.6,1543,38.1,209,False,True,False
481,302.4,311.1,1578,32.3,196,True,False,False
482,301.3,310.5,1390,45.8,63,False,True,False
483,302.4,311.8,1448,43.4,141,False,True,False
484,297.3,308.0,1518,36.0,59,False,True,False
485,298.2,309.0,1508,40.5,192,False,False,True
486,297.7,308.3,1547,36.8,74,False,False,True
487,300.3,311.8,1483,45.1,181,False,False,True
488,299.5,309.1,1336,42.1,217,False,True,False
489,300.8,309.4,1474,40.7,104,True,False,False
490,300.4,309.8,1342,52.5,68,False,True,False
491,298.7,310.1,1644,34.1,46,False,False,True
492,301.3,311.1,1504,39.1,2,False,True,False
493,295.7,306.3,1712,28.5,43,False,False,True
494,300.4,310.7,1656,36.3,127,True,False,False
495,303.7,312.5,1520,35.6,154,True,False,False
496,300.1,309.1,1353,58.7,86,False,True,False
497,298.2,308.9,1709,28.1,81,False,True,False
498,298.1,307.8,1503,44.7,54,False,False,True
499,303.6,312.5,1431,49.0,162,False,True,False
500,300.7,311.9,1366,55.1,36,False,False,True
501,303.7,312.3,1384,45.9,121,False,True,False
502,300.7,310.8,1496,46.4,90,False,True,False
503,298.7,310.1,1433,54.6,66,False,True,False
504,300.9,312.0,1441,43.8,210,False,True,False
505,298.9,310.1,1577,41.4,80,False,True,False
506,296.1,307.1,1898,22.7,20,False,True,False
507,297.7,309.4,1461,43.7,142,False,False,True
508,298.8,310.2,1581,37.5,75,False,False,True
509,303.3,311.7,1508,35.5,217,False,True,False
510,297.3,307.8,1538,48.0,171,False,False,True
511,297.5,308.8,1312,50.3,159,False,True,False
512,300.4,309.5,1543,38.9,37,False,True,False
513,297.9,309.1,1507,36.9,13,False,True,False
514,301.6,311.2,1408,42.9,89,False,True,False
515,301.3,310.0,1438,40.9,7,False,True,False
516,302.6,311.0,1610,39.2,152,False,True,False
517,300.5,311.4,1679,27.5,59,True,False,False
518,298.1,308.5,1382,54.5,17,False,False,True
519,301.5,310.6,1587,33.7,122,False,True,False
520,302.2,311.3,1382,46.4,94,False,True,False
521,302.5,311.9,1452,47.4,77,False,True,False
522,298.1,308.3,1453,41.5,204,False,False,True
523,300.5,309.7,1395,61.0,157,False,True,False
524,303.7,312.8,1437,51.3,42,False,True,False
525,297.2,307.9,1493,38.4,146,False,True,False
526,301.9,310.9,1421,46.2,26,False,False,True
527,301.7,311.0,1585,35.9,185,False,True,False
528,298.9,309.8,1534,42.1,23,False,True,False
529,300.5,310.8,1631,30.5,132,True,False,False
530,297.3,308.6,1505,33.5,14,False,True,False
531,298.9,310.1,1484,40.4,61,False,False,True
532,299.8,311.1,1820,24.9,174,False,True,False
533,299.6,309.2,1597,36.3,35,True,False,False
534,297.8,307.8,1622,32.1,18,False,False,True
535,298.8,308.4,1484,39.2,8,False,True,False
536,301.0,312.1,1664,28.4,168,False,False,True
537,298.3,310.0,1442,43.9,110,False,True,False
538,302.7,312.2,1405,51.4,157,False,True,False
539,300.7,310.2,1364,65.3,208,True,False,False
540,301.1,310.2,1657,34.1,52,False,True,False
541,300.9,311.4,2073,21.4,105,False,True,False
542,303.6,312.6,1606,33.6,184,False,True,False
543,300.7,310.3,1662,34.4,57,False,True,False
544,298.6,308.4,1310,59.7,40,False,True,False
545,303.6,312.7,1429,47.7,198,False,True,False
546,300.4,309.7,1384,45.1,159,False,True,False
547,302.2,311.4,2080,19.2,31,False,True,False
548,297.9,308.8,1538,37.6,54,False,False,True
549,298.4,308.2,1463,37.6,188,False,False,True
550,297.7,308.9,1575,39.9,12,False,True,False
551,303.5,312.8,1877,22.3,96,False,True,False
552,299.6,309.2,1572,33.4,20,False,True,False
553,302.0,309.9,1606,34.5,156,True,False,False
554,297.6,308.1,1379,57.4,122,False,False,True
