UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_H,Type_L,Type_M
9062,297.2,308.4,1863,26.0,110,False,False,True
100,298.8,308.8,1523,44.4,55,False,True,False
6437,300.4,310.0,1769,26.1,38,False,True,False
5778,301.6,311.1,1408,44.4,106,False,True,False
9772,298.7,309.6,1424,50.4,32,False,False,True
6678,301.5,310.7,1435,38.5,224,False,True,False
238,298.0,308.1,1552,36.6,190,False,False,True
5684,302.2,311.6,1592,37.7,79,False,False,True
7050,300.6,310.4,1494,47.3,118,False,True,False
558,297.5,309.4,1433,48.3,139,False,False,True
8737,297.3,308.7,1491,40.2,112,False,True,False
7811,300.1,311.5,2218,17.0,123,False,True,False
4030,302.0,310.9,1679,29.0,222,True,False,False
2352,299.2,308.4,1393,48.4,35,False,True,False
4122,302.1,310.7,1364,47.8,213,False,False,True
3196,300.0,309.2,1635,32.4,4,False,False,True
3373,301.4,310.8,1431,44.3,21,False,True,False
6444,300.8,310.3,1537,33.3,52,False,True,False
2735,299.7,309.2,1572,32.8,142,True,False,False
1129,296.8,307.9,1843,25.2,116,False,False,True
1911,298.0,307.7,1547,36.8,186,True,False,False
6201,301.0,310.9,1679,29.8,64,False,True,False
893,295.7,306.1,1343,54.4,119,False,True,False
8199,299.3,310.7,1374,48.9,222,False,False,True
2932,300.8,309.7,1373,45.4,179,False,True,False
8480,298.6,309.7,1627,33.4,99,False,True,False
7654,300.4,311.5,1492,44.6,149,False,True,False
7261,300.4,310.5,2424,14.5,12,False,True,False
3302,301.3,310.5,1365,47.7,70,False,True,False
6377,300.0,309.6,1694,28.7,94,False,True,False
6655,301.4,310.3,2203,16.6,169,False,True,False
4245,302.4,310.9,1469,39.6,86,False,True,False
8901,297.3,308.6,1584,29.4,141,False,False,True
5121,304.2,313.6,1424,43.7,151,False,False,True
8383,298.9,310.0,1719,27.3,58,False,True,False
515,297.4,309.2,1620,33.2,28,False,True,False
3697,302.1,311.2,1454,46.8,0,False,True,False
3533,301.9,310.9,1486,40.3,6,False,True,False
467,297.2,308.5,1550,41.5,125,False,True,False
1534,298.0,308.9,1339,51.4,68,False,False,True
7520,300.2,311.6,1999,21.0,19,False,True,False
768,296.9,308.0,1546,31.1,11,False,True,False
5342,303.5,312.8,1404,55.8,84,True,False,False
8681,297.2,308.5,1494,39.6,181,False,True,False
5746,302.1,311.5,1987,20.1,21,False,True,False
5960,300.6,310.8,1378,51.2,119,False,True,False
5419,302.6,312.4,1398,41.6,40,False,True,False
9786,298.7,309.7,1697,29.8,74,True,False,False
746,296.7,308.0,1451,50.7,197,False,True,False
7860,300.5,311.9,1370,44.8,20,False,False,True
5851,301.3,311.1,1560,35.3,55,False,True,False
6050,300.9,311.0,1567,34.3,130,False,False,True
4948,303.7,312.7,1395,53.9,123,False,True,False
6184,301.0,310.9,1495,37.3,21,True,False,False
5002,303.6,312.7,2174,17.6,37,False,False,True
8838,297.5,309.1,1540,38.5,176,False,False,True
368,297.6,308.4,1569,38.3,93,False,False,True
5688,302.3,311.7,2170,18.2,91,False,True,False
298,298.0,308.5,1713,25.3,124,False,True,False
5401,302.7,312.4,1477,46.3,251,False,True,False
1174,297.1,308.0,1559,38.8,229,True,False,False
3213,300.3,309.2,1649,32.4,50,False,True,False
6427,300.2,309.7,1448,36.8,14,False,True,False
1284,298.3,309.4,1356,45.4,96,False,True,False
3479,301.8,310.7,1597,30.8,74,False,True,False
9618,299.0,310.2,1516,35.3,102,False,True,False
3949,302.2,311.3,1510,37.1,10,False,False,True
2266,299.2,308.4,1330,51.2,56,False,False,True
2801,300.2,309.5,1500,45.7,89,False,False,True
3330,301.6,310.7,1683,29.7,131,False,True,False
7326,299.9,310.4,1419,45.7,178,False,True,False
9911,298.6,309.0,1469,46.0,4,False,True,False
6060,300.9,311.0,2235,15.8,156,False,True,False
3481,301.9,310.8,1400,58.2,79,False,True,False
1588,298.2,308.3,1448,43.3,199,False,False,True
9290,298.2,308.9,1367,45.0,85,False,True,False
9907,298.6,309.1,1587,37.3,203,False,False,True
3163,300.5,309.9,1480,40.0,148,False,True,False
7102,300.8,310.2,1850,22.8,33,False,True,False
7,298.1,308.6,1558,42.4,14,False,True,False
1173,297.1,308.1,1446,36.6,227,False,True,False
5752,302.3,311.8,1475,42.8,38,True,False,False
6287,301.1,310.6,1611,35.2,70,False,True,False
7267,300.4,310.5,1578,32.8,26,False,True,False
8900,297.3,308.5,1710,27.7,138,False,False,True
4532,302.5,310.5,1520,41.2,154,False,True,False
4188,302.2,310.7,1601,33.0,166,False,False,True
1241,297.2,308.6,1636,31.3,192,False,True,False
8967,297.1,307.8,1636,30.3,90,False,True,False
1011,296.2,307.2,1552,34.8,8,False,False,True
7767,300.3,311.4,1318,52.7,13,False,True,False
2761,299.8,309.2,1400,42.6,210,False,True,False
9788,298.6,309.5,1420,50.4,82,True,False,False
4062,301.9,310.8,1906,21.7,62,False,True,False
4211,302.1,310.8,1565,35.3,6,False,True,False
4241,302.4,311.1,1905,20.9,77,False,True,False
1469,298.6,309.8,1419,44.9,115,False,False,True
802,296.9,307.8,1285,52.1,100,False,True,False
218,298.3,308.5,1664,31.6,144,False,True,False
765,296.8,307.9,1337,56.5,5,False,True,False
3991,302.2,311.2,1692,28.2,122,True,False,False
9783,298.7,309.9,1404,47.1,64,False,True,False
1764,298.2,307.6,1511,31.0,209,False,True,False
3015,300.5,309.7,1580,42.8,196,False,True,False
4466,302.8,310.6,1404,43.2,203,False,True,False
4038,302.0,310.8,1609,35.2,4,False,False,True
2241,299.2,308.5,1457,44.7,195,False,True,False
2396,299.2,308.5,1742,28.9,150,False,False,True
4606,302.9,311.0,1469,48.7,130,True,False,False
323,297.8,308.5,1448,40.0,192,False,True,False
8707,297.2,308.6,1335,53.0,39,False,True,False
8776,297.5,308.6,1536,38.7,7,True,False,False
4908,303.6,312.5,1607,33.7,14,False,False,True
783,296.8,307.9,1698,30.8,48,False,True,False
3251,301.2,309.8,1709,27.0,151,True,False,False
7902,300.8,312.4,1365,44.5,129,False,True,False
2068,299.7,309.6,1553,36.8,174,False,True,False
1758,298.1,307.4,1335,56.2,190,False,False,True
8997,297.2,307.9,1540,37.1,164,False,True,False
7272,300.3,310.4,1293,49.7,37,False,False,True
9262,298.3,309.0,1470,38.4,10,True,False,False
2777,300.1,309.4,1453,47.6,28,False,True,False
3114,299.9,309.1,1345,56.8,10,False,False,True
5819,301.3,311.0,1539,36.9,206,False,True,False
2235,299.4,308.6,1492,40.5,181,False,True,False
9843,298.4,309.3,1395,47.6,24,False,True,False
5656,302.3,311.5,1387,47.3,2,False,True,False
6200,300.9,310.9,1497,43.2,62,False,True,False
2517,298.8,308.5,1736,29.0,31,False,True,False
1861,297.8,307.6,1607,30.3,62,False,True,False
6373,300.0,309.5,1879,22.4,79,False,False,True
669,297.5,308.9,1738,24.0,195,False,True,False
9169,297.6,308.8,1385,44.4,181,True,False,False
3758,302.2,311.1,1516,33.7,158,False,False,True
5221,303.8,313.0,1633,32.9,207,False,True,False
6031,300.6,310.7,1397,53.7,80,False,True,False
8656,297.3,308.3,1268,60.6,119,False,True,False
8618,297.6,308.6,1529,45.3,15,False,True,False
7568,300.2,311.0,2370,14.7,144,False,False,True
4505,302.4,310.1,1645,31.6,93,False,True,False
4876,303.7,312.4,1702,31.2,144,False,True,False
2669,299.8,309.3,1640,31.1,211,False,False,True
8164,299.7,311.1,1574,36.4,135,False,True,False
559,297.5,309.4,1650,34.6,142,False,True,False
4318,301.5,310.0,1417,44.6,49,False,False,True
281,298.1,308.1,1456,43.7,80,False,False,True
7361,299.5,310.1,1585,35.2,50,False,True,False
6257,301.0,310.6,1493,37.8,206,False,True,False
3560,301.7,310.7,1659,29.9,73,False,False,True
8799,297.3,308.4,1469,46.7,65,False,True,False
4391,302.2,310.1,1421,45.4,9,False,False,True
5317,303.6,312.8,1689,33.1,16,False,False,True
8478,298.5,309.6,1579,33.5,91,True,False,False
7092,300.6,310.2,1318,51.0,8,False,True,False
4124,302.1,310.6,1517,38.9,2,False,False,True
8917,297.1,308.2,2267,15.7,181,False,True,False
2232,299.4,308.6,1415,56.4,175,False,True,False
5899,301.0,310.7,1300,57.2,174,False,True,False
1496,297.9,308.5,1383,44.6,184,True,False,False
3486,301.9,310.8,1427,47.7,92,False,True,False
2579,299.4,309.3,1391,46.6,185,False,True,False
9589,299.3,310.4,1510,45.5,27,True,False,False
7461,300.0,311.5,1445,41.6,81,False,True,False
1489,298.2,309.1,1568,36.3,166,False,True,False
7958,300.9,311.9,2140,16.5,43,True,False,False
8165,299.6,310.9,1472,40.9,137,False,True,False
8393,298.5,309.6,1502,39.4,84,False,False,True
6327,300.6,310.0,1455,40.4,172,False,True,False
8218,299.1,310.6,1577,37.1,44,False,True,False
4412,302.5,310.3,1688,31.6,66,False,True,False
1431,298.9,310.0,1378,49.3,18,False,True,False
9852,298.5,309.3,1761,27.2,49,False,False,True
8579,297.5,308.2,1489,40.7,141,False,True,False
688,297.7,309.0,1531,42.4,38,False,False,True
8602,297.4,308.2,1359,46.9,199,True,False,False
6615,301.7,310.6,1660,28.7,66,False,True,False
8019,301.0,311.9,1889,23.5,198,False,True,False
4401,302.3,310.1,1353,50.9,36,False,True,False
9255,298.3,309.1,1616,31.1,195,False,True,False
2507,299.2,309.1,1503,34.7,6,False,False,True
9391,297.5,308.0,1560,39.0,141,False,False,True
2164,299.6,309.2,1422,39.8,219,False,True,False
7613,300.5,311.4,1743,27.6,46,False,False,True
8994,297.2,307.9,1632,37.5,156,False,False,True
3080,300.1,309.3,1340,56.0,130,False,True,False
9363,298.0,308.5,1682,33.0,58,False,False,True
585,297.6,309.6,1419,48.2,215,True,False,False
5952,300.7,310.9,1650,29.4,102,False,True,False
8041,300.8,311.9,1498,39.3,23,False,True,False
4634,303.0,311.2,1382,50.5,203,False,True,False
4066,301.9,310.7,1511,37.6,70,False,False,True
1959,297.9,307.7,1464,43.2,97,True,False,False
3376,301.4,310.6,1459,46.9,27,False,False,True
151,298.4,308.3,1422,42.7,186,False,True,False
2813,300.0,309.3,1413,40.7,117,False,False,True
2886,300.5,309.5,1320,49.9,59,False,False,True
7561,300.3,311.3,1377,53.8,125,False,False,True
7128,300.6,310.0,1438,53.8,103,False,True,False
1628,297.9,307.8,1499,37.5,78,False,True,False
8322,298.8,309.6,1442,50.0,104,False,True,False
913,295.6,306.0,1569,40.4,174,False,True,False
650,297.7,309.2,1732,28.8,152,False,False,True
7778,300.3,311.5,1695,25.6,43,False,True,False
7483,300.2,311.6,1510,47.5,146,False,False,True
1465,298.8,310.0,1412,46.3,107,False,True,False
8533,298.6,309.4,1315,55.5,28,False,True,False
1852,297.7,307.3,1365,49.2,36,False,False,True
8946,297.4,308.2,1639,33.8,39,False,True,False
3862,302.5,311.5,1481,41.1,215,False,False,True
2697,300.0,309.6,1452,46.0,51,False,True,False
1106,296.6,307.5,1734,27.0,50,False,False,True
5402,302.6,312.3,1454,54.8,253,False,False,True
9271,298.2,308.8,1302,60.4,34,False,True,False
971,295.8,306.5,1568,35.1,111,False,True,False
8609,297.4,308.4,1369,50.6,220,False,True,False
6533,301.2,310.6,1352,52.0,69,True,False,False
7934,300.8,311.8,1928,21.8,209,False,True,False
6099,300.8,310.7,1924,22.4,36,False,False,True
4140,301.7,310.2,1620,30.8,42,True,False,False
4000,302.0,311.0,1420,45.9,144,False,True,False
7782,300.4,311.7,1513,40.0,51,False,True,False
7720,300.6,311.7,1535,33.3,92,True,False,False
9059,297.2,308.3,1326,57.2,100,False,False,True
2412,299.0,308.5,1559,38.1,194,False,True,False
5587,302.4,311.8,1557,31.5,49,False,False,True
1148,297.1,308.0,1690,25.6,159,False,False,True
2274,299.3,308.5,1589,32.7,74,False,True,False
69,298.8,308.9,1527,32.4,189,False,True,False
435,297.5,308.5,1484,44.7,40,False,False,True
1872,298.3,308.1,1840,21.5,88,False,True,False
6513,301.1,310.0,1433,48.1,14,False,False,True
3692,302.1,311.2,1460,46.9,198,False,True,False
6499,300.8,309.9,2041,19.2,194,True,False,False
8042,300.8,311.9,1431,48.5,25,True,False,False
7082,300.7,310.4,1366,52.6,205,False,True,False
3703,302.0,311.2,1434,44.9,15,False,True,False
7238,299.8,310.0,1632,33.7,172,False,False,True
7438,299.8,311.3,1727,30.0,24,False,True,False
6857,301.1,311.3,1836,22.8,31,False,False,True
665,297.5,308.9,1390,47.4,187,False,True,False
2840,300.4,309.4,1362,42.1,182,False,False,True
6734,301.7,311.0,1311,46.8,136,False,False,True
1564,298.2,308.3,1402,51.0,141,False,True,False
2366,299.4,308.5,1845,22.9,76,False,True,False
7111,300.8,310.4,1518,36.0,59,False,False,True
1141,296.9,307.9,1385,44.8,144,False,False,True
6426,300.3,309.9,1393,56.1,12,False,True,False
9295,298.1,309.0,1437,36.2,95,False,True,False
7549,300.2,311.4,1495,43.6,95,False,True,False
9870,298.9,309.9,1590,31.3,98,False,True,False
3476,301.8,310.7,1644,33.4,68,False,True,False
2822,300.3,309.6,1419,42.5,137,False,False,True
285,298.2,308.3,2051,19.2,90,False,True,False
594,297.5,309.6,1312,50.7,0,False,True,False
3117,300.0,309.2,1566,34.4,18,False,True,False
4941,303.6,312.6,1502,39.5,103,False,True,False
2878,300.5,309.4,1655,32.1,37,False,False,True
5557,302.5,312.0,1357,42.0,179,True,False,False
3914,302.4,311.4,1675,29.6,128,False,False,True
8807,297.4,308.5,1692,34.3,83,False,True,False
2668,299.8,309.3,1663,35.2,208,False,False,True
127,299.0,308.6,1329,60.5,120,False,True,False
4067,301.9,310.7,1472,47.0,73,False,False,True
3190,300.1,309.1,1551,33.7,214,False,True,False
9282,298.2,308.9,1336,45.0,66,False,True,False
17,298.6,309.2,1311,46.6,44,False,False,True
2722,299.6,309.3,1553,32.4,112,False,False,True
1533,298.1,308.9,1417,39.2,65,False,False,True
9909,298.6,309.0,1456,47.7,0,False,True,False
7368,299.5,310.1,1359,61.1,67,False,False,True
6903,301.0,311.6,1461,40.6,154,False,True,False
3139,300.4,309.9,1376,43.5,74,False,True,False
5669,302.2,311.4,1432,45.3,33,False,False,True
3397,301.4,310.6,1459,35.0,87,False,False,True
2551,299.4,309.3,1366,48.4,116,False,True,False
1466,298.7,309.8,1546,40.9,109,False,True,False
8341,298.8,309.7,1480,38.1,157,False,False,True
9938,298.3,308.1,1505,46.1,80,False,True,False
3865,302.5,311.4,1629,31.7,225,False,False,True
9209,298.0,308.9,1406,40.9,77,False,True,False
1264,297.8,309.2,1400,56.9,34,False,True,False
441,297.4,308.5,1389,39.2,54,False,True,False
3706,302.0,311.3,1725,27.7,23,False,False,True
2349,299.2,308.4,1436,41.8,28,False,True,False
1718,298.2,307.6,1369,54.5,82,False,True,False
8519,298.3,309.6,1681,27.1,194,False,False,True
6979,300.7,311.1,1427,50.3,137,False,True,False
6544,301.4,310.8,1698,29.6,99,False,True,False
1077,296.9,307.7,1653,35.9,177,False,True,False
889,295.6,306.1,1651,28.1,110,False,False,True
9927,298.5,308.6,1897,20.2,50,False,False,True
1635,297.9,307.9,1406,58.5,93,True,False,False
6793,301.2,310.6,1811,24.0,84,False,True,False
7964,301.0,312.2,1510,39.9,61,False,True,False
9280,298.2,308.8,1645,28.2,58,False,False,True
8567,297.9,308.7,1751,26.6,111,False,False,True
7832,300.0,311.4,1533,42.6,180,False,False,True
4334,301.6,309.8,1588,33.9,89,False,True,False
4209,302.3,310.9,1627,32.3,0,False,False,True
8064,300.3,311.7,1551,36.4,84,False,False,True
937,295.6,306.1,1418,46.2,24,False,False,True
8052,300.6,311.8,1652,27.2,52,False,True,False
2692,300.0,309.6,1431,47.7,39,False,True,False
724,297.4,308.9,1500,46.3,137,False,False,True
1612,297.8,307.9,1726,27.3,35,False,False,True
7819,299.8,311.2,2142,16.6,144,False,True,False
6501,300.9,310.0,1416,46.6,201,False,False,True
9056,297.3,308.4,1864,23.1,90,True,False,False
9974,298.5,308.2,1444,40.5,170,False,True,False
8665,297.5,308.6,1355,58.9,138,True,False,False
439,297.4,308.4,1341,52.2,49,False,True,False
7991,301.1,312.4,1809,25.1,126,False,False,True
2373,299.3,308.5,1404,49.4,93,False,False,True
7234,299.9,310.0,1447,45.9,162,False,True,False
670,297.5,308.9,1471,37.7,197,True,False,False
9130,297.6,308.6,1664,30.1,81,False,True,False
7462,300.0,311.5,1749,28.3,83,False,True,False
9939,298.3,308.1,1528,33.9,82,False,True,False
9193,297.9,309.0,1562,35.8,40,False,True,False
1554,298.5,308.8,1332,59.1,115,False,True,False
8903,297.4,308.7,1522,46.3,146,True,False,False
3184,300.1,309.3,1616,32.0,199,False,True,False
2685,299.8,309.4,1460,37.4,25,False,True,False
1047,296.4,307.5,1331,47.8,99,False,True,False
2147,299.3,308.8,1647,32.9,172,False,True,False
8094,300.2,311.6,1511,35.7,160,False,True,False
65,299.0,309.1,1523,38.6,177,False,True,False
9785,298.7,309.8,1435,48.8,71,False,False,True
976,296.0,306.6,1628,36.8,121,False,False,True
1829,297.8,307.2,1351,56.3,174,False,True,False
6782,301.3,310.8,1494,35.3,54,False,False,True
3420,301.5,310.5,1611,33.8,144,False,True,False
2134,299.3,309.0,1732,29.7,141,True,False,False
5154,304.2,313.4,1644,31.7,23,False,True,False
2760,299.7,309.1,1483,41.1,208,False,True,False
4902,303.6,312.3,1630,32.4,223,False,False,True
6340,300.5,310.0,1451,48.6,208,False,True,False
1341,298.6,310.2,1569,36.3,10,False,True,False
8328,298.7,309.6,1254,57.1,124,False,False,True
9889,298.8,309.6,1575,34.4,149,False,False,True
9464,298.5,309.3,1552,36.8,133,False,False,True
4150,301.9,310.4,1603,37.6,69,False,True,False
3194,300.0,309.1,1401,44.5,0,False,True,False
4053,301.9,310.8,1563,39.2,39,False,False,True
9083,297.2,307.9,1309,49.6,167,False,True,False
884,295.7,306.3,1490,34.3,97,False,True,False
8493,298.4,309.5,1514,38.8,128,False,False,True
7338,299.9,310.5,1539,32.8,213,False,True,False
5373,302.9,312.3,1509,46.8,175,True,False,False
3980,302.3,311.3,1439,41.8,96,False,True,False
8772,297.5,308.6,1536,39.0,202,False,True,False
9400,297.8,308.3,1477,44.8,170,False,True,False
1135,296.9,307.8,1426,50.7,130,False,False,True
1577,298.3,308.4,1490,41.7,170,False,True,False
5499,302.9,312.5,1903,21.2,23,False,False,True
6491,300.7,309.9,1383,44.5,176,False,True,False
5846,301.4,311.2,1727,26.5,43,False,False,True
3031,300.4,309.6,1563,34.0,6,False,False,True
3492,301.9,310.9,1590,34.3,106,True,False,False
8933,297.4,308.4,1474,43.6,4,False,True,False
9810,298.2,309.0,1353,50.3,150,False,False,True
3738,302.2,311.1,1351,48.6,110,False,True,False
4113,301.9,310.5,1472,39.7,187,True,False,False
2758,299.8,309.2,1439,36.1,203,False,True,False
1884,298.0,307.6,1472,46.7,116,False,False,True
2523,298.8,308.7,1543,38.2,44,False,False,True
8240,299.0,310.4,1339,49.6,94,False,True,False
5633,302.7,312.2,1376,52.8,164,False,True,False
4090,301.9,310.5,1590,40.3,130,False,False,True
3782,302.3,310.8,1465,43.8,7,False,True,False
1974,297.9,307.6,1747,25.3,136,False,True,False
897,295.5,306.1,1573,35.1,129,False,True,False
8658,297.4,308.4,1421,46.0,124,False,True,False
6229,301.2,310.9,1413,50.1,141,False,True,False
8258,299.0,310.6,1587,34.2,141,False,False,True
5259,303.5,312.9,1572,44.7,84,False,False,True
6395,300.2,309.7,1408,44.0,144,False,False,True
5670,302.2,311.5,1479,39.5,36,False,False,True
3353,301.4,310.8,1610,34.6,187,False,True,False
354,297.5,308.3,1674,30.0,54,True,False,False
5782,301.7,311.1,1618,36.7,115,False,False,True
7857,300.4,311.8,1433,42.2,14,False,True,False
7205,299.8,309.6,1526,41.7,85,False,True,False
7192,300.3,310.3,1629,34.1,52,False,True,False
2610,299.4,309.2,1621,34.5,48,False,True,False
4363,302.1,310.1,1447,46.6,169,False,True,False
8145,299.7,311.0,1506,42.7,85,False,False,True
1916,298.0,307.7,1492,38.7,202,False,True,False
1560,298.2,308.3,1458,41.8,132,False,True,False
5286,303.8,313.1,1523,39.8,150,False,True,False
1387,298.9,310.2,1445,40.0,129,False,True,False
9992,298.9,308.4,1827,26.1,5,False,False,True
4299,301.8,310.2,1437,42.3,0,False,False,True
2440,299.1,308.4,1693,31.6,65,False,True,False
78,298.8,308.9,1455,41.3,208,False,True,False
4418,302.6,310.4,1365,66.8,80,False,True,False
2780,300.1,309.5,1353,50.9,34,False,True,False
6755,301.8,311.1,1495,36.9,197,False,True,False
8576,297.6,308.3,1648,29.1,134,False,False,True
4387,301.9,309.7,1719,31.9,0,False,True,False
5362,303.3,312.7,1643,30.7,142,False,True,False
4734,303.3,311.6,1484,44.6,223,False,True,False
1448,299.0,310.3,1662,33.6,67,False,False,True
9107,297.4,308.3,1854,21.8,24,False,True,False
8293,298.9,310.5,1429,39.9,19,True,False,False
4055,301.9,310.9,1456,43.6,45,False,False,True
5902,301.0,310.7,1464,45.8,184,False,True,False
2323,299.2,308.7,1514,41.9,196,False,True,False
8715,297.2,308.6,1444,41.1,56,False,False,True
2505,299.2,309.1,1468,45.6,2,False,True,False
3021,300.4,309.6,1543,38.1,209,False,True,False
3856,302.4,311.1,1578,32.3,196,True,False,False
3300,301.3,310.5,1390,45.8,63,False,True,False
5708,302.4,311.8,1448,43.4,141,False,True,False
8954,297.3,308.0,1518,36.0,59,False,True,False
9254,298.2,309.0,1508,40.5,192,False,False,True
9370,297.7,308.3,1547,36.8,74,False,False,True
7498,300.3,311.8,1483,45.1,181,False,False,True
2163,299.5,309.1,1336,42.1,217,False,True,False
3234,300.8,309.4,1474,40.7,104,True,False,False
3136,300.4,309.8,1342,52.5,68,False,True,False
8302,298.7,310.1,1644,34.1,46,False,False,True
5829,301.3,311.1,1504,39.1,2,False,True,False
945,295.7,306.3,1712,28.5,43,False,False,True
5964,300.4,310.7,1656,36.3,127,True,False,False
4880,303.7,312.5,1520,35.6,154,True,False,False
3062,300.1,309.1,1353,58.7,86,False,True,False
9288,298.2,308.9,1709,28.1,81,False,True,False
1705,298.1,307.8,1503,44.7,54,False,False,True
4796,303.6,312.5,1431,49.0,162,False,True,False
8046,300.7,311.9,1366,55.1,36,False,False,True
4782,303.7,312.3,1384,45.9,121,False,True,False
5947,300.7,310.8,1496,46.4,90,False,True,False
1364,298.7,310.1,1433,54.6,66,False,True,False
8023,300.9,312.0,1441,43.8,210,False,True,False
9705,298.9,310.1,1577,41.4,80,False,True,False
857,296.1,307.1,1898,22.7,20,False,True,False
647,297.7,309.4,1461,43.7,142,False,False,True
1368,298.8,310.2,1581,37.5,75,False,False,True
4731,303.3,311.7,1508,35.5,217,False,True,False
8590,297.3,307.8,1538,48.0,171,False,False,True
8673,297.5,308.8,1312,50.3,159,False,True,False
3042,300.4,309.5,1543,38.9,37,False,True,False
9181,297.9,309.1,1507,36.9,13,False,True,False
5771,301.6,311.2,1408,42.9,89,False,True,False
3277,301.3,310.0,1438,40.9,7,False,True,False
4270,302.6,311.0,1610,39.2,152,False,True,False
7708,300.5,311.4,1679,27.5,59,True,False,False
9422,298.1,308.5,1382,54.5,17,False,False,True
3326,301.5,310.6,1587,33.7,122,False,True,False
3979,302.2,311.3,1382,46.4,94,False,True,False
5520,302.5,311.9,1452,47.4,77,False,True,False
1590,298.1,308.3,1453,41.5,204,False,False,True
3000,300.5,309.7,1395,61.0,157,False,True,False
5004,303.7,312.8,1437,51.3,42,False,True,False
8991,297.2,307.9,1493,38.4,146,False,True,False
4047,301.9,310.9,1421,46.2,26,False,False,True
6750,301.7,311.0,1585,35.9,185,False,True,False
8369,298.9,309.8,1534,42.1,23,False,True,False
5965,300.5,310.8,1631,30.5,132,True,False,False
8698,297.3,308.6,1505,33.5,14,False,True,False
9522,298.9,310.1,1484,40.4,61,False,False,True
9565,299.8,311.1,1820,24.9,174,False,True,False
2181,299.6,309.2,1597,36.3,35,True,False,False
1604,297.8,307.8,1622,32.1,18,False,False,True
